ID                                          County     State    # of Tracts    Population
Aurora_SD                                   Aurora        SD              1          2710
Beadle_SD                                   Beadle        SD              6         17398
Bennett_SD                                 Bennett        SD              2          3431
Bon Homme_SD                             Bon Homme        SD              2          7070
Brookings_SD                             Brookings        SD              6         31965
Brown_SD                                     Brown        SD              8         36531
Brule_SD                                     Brule        SD              2          5255
Buffalo_SD                                 Buffalo        SD              1          1912
Butte_SD                                     Butte        SD              2         10110
Campbell_SD                               Campbell        SD              1          1466
Charles Mix_SD                         Charles Mix        SD              3          9129
Clark_SD                                     Clark        SD              1          3691
Clay_SD                                       Clay        SD              3         13864
Codington_SD                             Codington        SD              7         27227
Corson_SD                                   Corson        SD              2          4050
Custer_SD                                   Custer        SD              2          8216
Davison_SD                                 Davison        SD              4         19504
Day_SD                                         Day        SD              3          5710
Deuel_SD                                     Deuel        SD              2          4364
Dewey_SD                                     Dewey        SD              2          5301
Douglas_SD                                 Douglas        SD              1          3002
Edmunds_SD                                 Edmunds        SD              2          4071
Fall River_SD                           Fall River        SD              2          7094
Faulk_SD                                     Faulk        SD              1          2364
Grant_SD                                     Grant        SD              2          7356
Gregory_SD                                 Gregory        SD              2          4271
Haakon_SD                                   Haakon        SD              1          1937
Hamlin_SD                                   Hamlin        SD              2          5903
Hand_SD                                       Hand        SD              2          3431
Hanson_SD                                   Hanson        SD              1          3331
Harding_SD                                 Harding        SD              1          1255
Hughes_SD                                   Hughes        SD              4         17022
Hutchinson_SD                           Hutchinson        SD              3          7343
Hyde_SD                                       Hyde        SD              1          1420
Jackson_SD                                 Jackson        SD              2          3031
Jerauld_SD                                 Jerauld        SD              1          2071
Jones_SD                                     Jones        SD              1          1006
Kingsbury_SD                             Kingsbury        SD              2          5148
Lake_SD                                       Lake        SD              3         11200
Lawrence_SD                               Lawrence        SD              5         24097
Lincoln_SD                                 Lincoln        SD             11         44828
Lyman_SD                                     Lyman        SD              2          3755
McCook_SD                                   McCook        SD              2          5618
McPherson_SD                             McPherson        SD              1          2459
Marshall_SD                               Marshall        SD              1          4656
Meade_SD                                     Meade        SD              5         25434
Mellette_SD                               Mellette        SD              1          2048
Miner_SD                                     Miner        SD              1          2389
Minnehaha_SD                             Minnehaha        SD             42        169468
Moody_SD                                     Moody        SD              2          6486
Pennington_SD                           Pennington        SD             23        100948
Perkins_SD                                 Perkins        SD              1          2982
Potter_SD                                   Potter        SD              1          2329
Roberts_SD                                 Roberts        SD              4         10149
Sanborn_SD                                 Sanborn        SD              1          2355
Shannon_SD                                 Shannon        SD              3         13586
Spink_SD                                     Spink        SD              3          6415
Stanley_SD                                 Stanley        SD              1          2966
Sully_SD                                     Sully        SD              1          1373
Todd_SD                                       Todd        SD              2          9612
Tripp_SD                                     Tripp        SD              2          5644
Turner_SD                                   Turner        SD              2          8347
Union_SD                                     Union        SD              3         14399
Walworth_SD                               Walworth        SD              2          5438
Yankton_SD                                 Yankton        SD              5         22438
Ziebach_SD                                 Ziebach        SD              1          2801
Anderson_TN                               Anderson        TN             18         75129
Bedford_TN                                 Bedford        TN              9         45058
Benton_TN                                   Benton        TN              5         16489
Bledsoe_TN                                 Bledsoe        TN              3         12876
Blount_TN                                   Blount        TN             28        123010
Bradley_TN                                 Bradley        TN             19         98963
Campbell_TN                               Campbell        TN             11         40716
Cannon_TN                                   Cannon        TN              3         13801
Carroll_TN                                 Carroll        TN              8         28522
Carter_TN                                   Carter        TN             17         57424
Cheatham_TN                               Cheatham        TN              9         39105
Chester_TN                                 Chester        TN              3         17131
Claiborne_TN                             Claiborne        TN              9         32213
Clay_TN                                       Clay        TN              2          7861
Cocke_TN                                     Cocke        TN              9         35662
Coffee_TN                                   Coffee        TN             12         52796
Crockett_TN                               Crockett        TN              5         14586
Cumberland_TN                           Cumberland        TN             14         56053
Davidson_TN                               Davidson        TN            161        626681
Decatur_TN                                 Decatur        TN              4         11757
DeKalb_TN                                   DeKalb        TN              4         18723
Dickson_TN                                 Dickson        TN             10         49666
Dyer_TN                                       Dyer        TN              8         38335
Fayette_TN                                 Fayette        TN             11         38413
Fentress_TN                               Fentress        TN              4         17959
Franklin_TN                               Franklin        TN              9         41052
Gibson_TN                                   Gibson        TN             14         49683
Giles_TN                                     Giles        TN              8         29485
Grainger_TN                               Grainger        TN              5         22657
Greene_TN                                   Greene        TN             15         68831
Grundy_TN                                   Grundy        TN              4         13703
Hamblen_TN                                 Hamblen        TN             12         62544
Hamilton_TN                               Hamilton        TN             82        336463
Hancock_TN                                 Hancock        TN              2          6819
Hardeman_TN                               Hardeman        TN              6         27253
Hardin_TN                                   Hardin        TN              6         26026
Hawkins_TN                                 Hawkins        TN             13         56833
Haywood_TN                                 Haywood        TN              6         18787
Henderson_TN                             Henderson        TN              6         27769
Henry_TN                                     Henry        TN              9         32330
Hickman_TN                                 Hickman        TN              6         24690
Houston_TN                                 Houston        TN              3          8426
Humphreys_TN                             Humphreys        TN              5         18538
Jackson_TN                                 Jackson        TN              4         11638
Jefferson_TN                             Jefferson        TN              9         51407
Johnson_TN                                 Johnson        TN              5         18244
Knox_TN                                       Knox        TN            112        432226
Lake_TN                                       Lake        TN              2          7832
Lauderdale_TN                           Lauderdale        TN              9         27815
Lawrence_TN                               Lawrence        TN             11         41869
Lewis_TN                                     Lewis        TN              2         12161
Lincoln_TN                                 Lincoln        TN              9         33361
Loudon_TN                                   Loudon        TN             10         48556
McMinn_TN                                   McMinn        TN             10         52266
McNairy_TN                                 McNairy        TN              7         26075
Macon_TN                                     Macon        TN              4         22248
Madison_TN                                 Madison        TN             27         98294
Marion_TN                                   Marion        TN              6         28237
Marshall_TN                               Marshall        TN              6         30617
Maury_TN                                     Maury        TN             17         80956
Meigs_TN                                     Meigs        TN              3         11753
Monroe_TN                                   Monroe        TN              7         44519
Montgomery_TN                           Montgomery        TN             39        172331
Moore_TN                                     Moore        TN              2          6362
Morgan_TN                                   Morgan        TN              5         21987
Obion_TN                                     Obion        TN             10         31807
Overton_TN                                 Overton        TN              7         22083
Perry_TN                                     Perry        TN              2          7915
Pickett_TN                                 Pickett        TN              1          5077
Polk_TN                                       Polk        TN              5         16825
Putnam_TN                                   Putnam        TN             15         72321
Rhea_TN                                       Rhea        TN              6         31809
Roane_TN                                     Roane        TN             11         54181
Robertson_TN                             Robertson        TN             14         66283
Rutherford_TN                           Rutherford        TN             49        262604
Scott_TN                                     Scott        TN              5         22228
Sequatchie_TN                           Sequatchie        TN              3         14112
Sevier_TN                                   Sevier        TN             18         89889
Shelby_TN                                   Shelby        TN            221        927644
Smith_TN                                     Smith        TN              5         19166
Stewart_TN                                 Stewart        TN              5         13324
Sullivan_TN                               Sullivan        TN             39        156823
Sumner_TN                                   Sumner        TN             42        160645
Tipton_TN                                   Tipton        TN             13         61081
Trousdale_TN                             Trousdale        TN              2          7870
Unicoi_TN                                   Unicoi        TN              4         18313
Union_TN                                     Union        TN              4         19109
Van Buren_TN                             Van Buren        TN              2          5548
Warren_TN                                   Warren        TN              9         39839
Washington_TN                           Washington        TN             23        122979
Wayne_TN                                     Wayne        TN              4         17021
Weakley_TN                                 Weakley        TN             11         35021
White_TN                                     White        TN              6         25841
Williamson_TN                           Williamson        TN             37        183182
Wilson_TN                                   Wilson        TN             21        113993
Anderson_TX                               Anderson        TX             11         58458
Andrews_TX                                 Andrews        TX              4         14786
Angelina_TX                               Angelina        TX             17         86771
Aransas_TX                                 Aransas        TX              5         23158
Archer_TX                                   Archer        TX              3          9054
Armstrong_TX                             Armstrong        TX              1          1901
Atascosa_TX                               Atascosa        TX              8         44911
Austin_TX                                   Austin        TX              6         28417
Bailey_TX                                   Bailey        TX              1          7165
Bandera_TX                                 Bandera        TX              5         20485
Bastrop_TX                                 Bastrop        TX             10         74171
Baylor_TX                                   Baylor        TX              1          3726
Bee_TX                                         Bee        TX              7         31861
Bell_TX                                       Bell        TX             65        310235
Bexar_TX                                     Bexar        TX            366       1714773
Blanco_TX                                   Blanco        TX              2         10497
Borden_TX                                   Borden        TX              1           641
Bosque_TX                                   Bosque        TX              7         18212
Bowie_TX                                     Bowie        TX             18         92565
Brazoria_TX                               Brazoria        TX             51        313166
Brazos_TX                                   Brazos        TX             42        194851
Brewster_TX                               Brewster        TX              3          9232
Briscoe_TX                                 Briscoe        TX              1          1637
Brooks_TX                                   Brooks        TX              2          7223
Brown_TX                                     Brown        TX             12         38106
Burleson_TX                               Burleson        TX              5         17187
Burnet_TX                                   Burnet        TX              8         42750
Caldwell_TX                               Caldwell        TX              8         38066
Calhoun_TX                                 Calhoun        TX              6         21381
Callahan_TX                               Callahan        TX              3         13544
Cameron_TX                                 Cameron        TX             86        406220
Camp_TX                                       Camp        TX              3         12401
Carson_TX                                   Carson        TX              2          6182
Cass_TX                                       Cass        TX              7         30464
Castro_TX                                   Castro        TX              3          8062
Chambers_TX                               Chambers        TX              6         35096
Cherokee_TX                               Cherokee        TX             12         50845
Childress_TX                             Childress        TX              2          7041
Clay_TX                                       Clay        TX              3         10752
Cochran_TX                                 Cochran        TX              1          3127
Coke_TX                                       Coke        TX              2          3320
Coleman_TX                                 Coleman        TX              3          8895
Collin_TX                                   Collin        TX            152        782341
Collingsworth_TX                     Collingsworth        TX              1          3057
Colorado_TX                               Colorado        TX              5         20874
Comal_TX                                     Comal        TX             24        108472
Comanche_TX                               Comanche        TX              4         13974
Concho_TX                                   Concho        TX              1          4087
Cooke_TX                                     Cooke        TX              8         38437
Coryell_TX                                 Coryell        TX             19         75388
Cottle_TX                                   Cottle        TX              1          1505
Crane_TX                                     Crane        TX              1          4375
Crockett_TX                               Crockett        TX              1          3719
Crosby_TX                                   Crosby        TX              3          6059
Culberson_TX                             Culberson        TX              1          2398
Dallam_TX                                   Dallam        TX              2          6703
Dallas_TX                                   Dallas        TX            529       2368139
Dawson_TX                                   Dawson        TX              4         13833
Deaf Smith_TX                           Deaf Smith        TX              4         19372
Delta_TX                                     Delta        TX              2          5231
Denton_TX                                   Denton        TX            137        662614
DeWitt_TX                                   DeWitt        TX              5         20097
Dickens_TX                                 Dickens        TX              1          2444
Dimmit_TX                                   Dimmit        TX              2          9996
Donley_TX                                   Donley        TX              2          3677
Duval_TX                                     Duval        TX              3         11782
Eastland_TX                               Eastland        TX              5         18583
Ector_TX                                     Ector        TX             28        137130
Edwards_TX                                 Edwards        TX              1          2002
Ellis_TX                                     Ellis        TX             31        149610
El Paso_TX                                 El Paso        TX            161        800647
Erath_TX                                     Erath        TX              8         37890
Falls_TX                                     Falls        TX              6         17866
Fannin_TX                                   Fannin        TX              9         33915
Fayette_TX                                 Fayette        TX              7         24554
Fisher_TX                                   Fisher        TX              2          3974
Floyd_TX                                     Floyd        TX              2          6446
Foard_TX                                     Foard        TX              1          1336
Fort Bend_TX                             Fort Bend        TX             76        585375
Franklin_TX                               Franklin        TX              3         10605
Freestone_TX                             Freestone        TX              7         19816
Frio_TX                                       Frio        TX              3         17217
Gaines_TX                                   Gaines        TX              3         17526
Galveston_TX                             Galveston        TX             67        291309
Garza_TX                                     Garza        TX              1          6461
Gillespie_TX                             Gillespie        TX              5         24837
Glasscock_TX                             Glasscock        TX              1          1226
Goliad_TX                                   Goliad        TX              2          7210
Gonzales_TX                               Gonzales        TX              6         19807
Gray_TX                                       Gray        TX              7         22535
Grayson_TX                                 Grayson        TX             26        120877
Gregg_TX                                     Gregg        TX             25        121730
Grimes_TX                                   Grimes        TX              6         26604
Guadalupe_TX                             Guadalupe        TX             29        131533
Hale_TX                                       Hale        TX              9         36273
Hall_TX                                       Hall        TX              1          3353
Hamilton_TX                               Hamilton        TX              3          8517
Hansford_TX                               Hansford        TX              2          5613
Hardeman_TX                               Hardeman        TX              1          4139
Hardin_TX                                   Hardin        TX             11         54635
Harris_TX                                   Harris        TX            786       4092459
Harrison_TX                               Harrison        TX             14         65631
Hartley_TX                                 Hartley        TX              1          6062
Haskell_TX                                 Haskell        TX              2          5899
Hays_TX                                       Hays        TX             25        157107
Hemphill_TX                               Hemphill        TX              1          3807
Henderson_TX                             Henderson        TX             17         78532
Hidalgo_TX                                 Hidalgo        TX            113        774769
Hill_TX                                       Hill        TX             11         35089
Hockley_TX                                 Hockley        TX              7         22935
Hood_TX                                       Hood        TX             10         51182
Hopkins_TX                                 Hopkins        TX              9         35161
Houston_TX                                 Houston        TX              7         23732
Howard_TX                                   Howard        TX             10         35012
Hudspeth_TX                               Hudspeth        TX              1          3476
Hunt_TX                                       Hunt        TX             19         86129
Hutchinson_TX                           Hutchinson        TX              7         22150
Irion_TX                                     Irion        TX              1          1599
Jack_TX                                       Jack        TX              3          9044
Jackson_TX                                 Jackson        TX              3         14075
Jasper_TX                                   Jasper        TX              8         35710
Jeff Davis_TX                           Jeff Davis        TX              1          2342
Jefferson_TX                             Jefferson        TX             72        252273
Jim Hogg_TX                               Jim Hogg        TX              2          5300
Jim Wells_TX                             Jim Wells        TX              7         40838
Johnson_TX                                 Johnson        TX             28        150934
Jones_TX                                     Jones        TX              6         20202
Karnes_TX                                   Karnes        TX              4         14824
Kaufman_TX                                 Kaufman        TX             18        103350
Kendall_TX                                 Kendall        TX              6         33410
Kenedy_TX                                   Kenedy        TX              1           416
Kent_TX                                       Kent        TX              1           808
Kerr_TX                                       Kerr        TX             10         49625
Kimble_TX                                   Kimble        TX              2          4607
King_TX                                       King        TX              1           286
Kinney_TX                                   Kinney        TX              1          3598
Kleberg_TX                                 Kleberg        TX              6         32061
Knox_TX                                       Knox        TX              2          3719
Lamar_TX                                     Lamar        TX             12         49793
Lamb_TX                                       Lamb        TX              5         13977
Lampasas_TX                               Lampasas        TX              5         19677
La Salle_TX                               La Salle        TX              1          6886
Lavaca_TX                                   Lavaca        TX              6         19263
Lee_TX                                         Lee        TX              4         16612
Leon_TX                                       Leon        TX              3         16801
Liberty_TX                                 Liberty        TX             14         75643
Limestone_TX                             Limestone        TX              8         23384
Lipscomb_TX                               Lipscomb        TX              2          3302
Live Oak_TX                               Live Oak        TX              4         11531
Llano_TX                                     Llano        TX              6         19301
Loving_TX                                   Loving        TX              1            82
Lubbock_TX                                 Lubbock        TX             68        278831
Lynn_TX                                       Lynn        TX              3          5915
McCulloch_TX                             McCulloch        TX              3          8283
McLennan_TX                               McLennan        TX             51        234906
McMullen_TX                               McMullen        TX              1           707
Madison_TX                                 Madison        TX              4         13664
Marion_TX                                   Marion        TX              4         10546
Martin_TX                                   Martin        TX              2          4799
Mason_TX                                     Mason        TX              2          4012
Matagorda_TX                             Matagorda        TX             10         36702
Maverick_TX                               Maverick        TX              9         54258
Medina_TX                                   Medina        TX              8         46006
Menard_TX                                   Menard        TX              1          2242
Midland_TX                                 Midland        TX             27        136872
Milam_TX                                     Milam        TX              7         24757
Mills_TX                                     Mills        TX              2          4936
Mitchell_TX                               Mitchell        TX              2          9403
Montague_TX                               Montague        TX              6         19719
Montgomery_TX                           Montgomery        TX             59        455746
Moore_TX                                     Moore        TX              4         21904
Morris_TX                                   Morris        TX              3         12934
Motley_TX                                   Motley        TX              1          1210
Nacogdoches_TX                         Nacogdoches        TX             13         64524
Navarro_TX                                 Navarro        TX             10         47735
Newton_TX                                   Newton        TX              4         14445
Nolan_TX                                     Nolan        TX              5         15216
Nueces_TX                                   Nueces        TX             81        340223
Ochiltree_TX                             Ochiltree        TX              3         10223
Oldham_TX                                   Oldham        TX              1          2052
Orange_TX                                   Orange        TX             21         81837
Palo Pinto_TX                           Palo Pinto        TX              9         28111
Panola_TX                                   Panola        TX              6         23796
Parker_TX                                   Parker        TX             19        116927
Parmer_TX                                   Parmer        TX              2         10269
Pecos_TX                                     Pecos        TX              4         15507
Polk_TX                                       Polk        TX             10         45413
Potter_TX                                   Potter        TX             34        121073
Presidio_TX                               Presidio        TX              2          7818
Rains_TX                                     Rains        TX              2         10914
Randall_TX                                 Randall        TX             29        120725
Reagan_TX                                   Reagan        TX              1          3367
Real_TX                                       Real        TX              1          3309
Red River_TX                             Red River        TX              4         12860
Reeves_TX                                   Reeves        TX              5         13783
Refugio_TX                                 Refugio        TX              2          7383
Roberts_TX                                 Roberts        TX              1           929
Robertson_TX                             Robertson        TX              5         16622
Rockwall_TX                               Rockwall        TX             11         78337
Runnels_TX                                 Runnels        TX              4         10501
Rusk_TX                                       Rusk        TX             13         53330
Sabine_TX                                   Sabine        TX              3         10834
San Augustine_TX                     San Augustine        TX              3          8865
San Jacinto_TX                         San Jacinto        TX              4         26384
San Patricio_TX                       San Patricio        TX             16         64804
San Saba_TX                               San Saba        TX              2          6131
Schleicher_TX                           Schleicher        TX              1          3461
Scurry_TX                                   Scurry        TX              4         16921
Shackelford_TX                         Shackelford        TX              1          3378
Shelby_TX                                   Shelby        TX              6         25448
Sherman_TX                                 Sherman        TX              1          3034
Smith_TX                                     Smith        TX             41        209714
Somervell_TX                             Somervell        TX              2          8490
Starr_TX                                     Starr        TX             15         60968
Stephens_TX                               Stephens        TX              3          9630
Sterling_TX                               Sterling        TX              1          1143
Stonewall_TX                             Stonewall        TX              1          1490
Sutton_TX                                   Sutton        TX              1          4128
Swisher_TX                                 Swisher        TX              3          7854
Tarrant_TX                                 Tarrant        TX            357       1809034
Taylor_TX                                   Taylor        TX             38        131506
Terrell_TX                                 Terrell        TX              1           984
Terry_TX                                     Terry        TX              3         12651
Throckmorton_TX                       Throckmorton        TX              1          1641
Titus_TX                                     Titus        TX              8         32334
Tom Green_TX                             Tom Green        TX             25        110224
Travis_TX                                   Travis        TX            218       1024266
Trinity_TX                                 Trinity        TX              5         14585
Tyler_TX                                     Tyler        TX              5         21766
Upshur_TX                                   Upshur        TX              7         39309
Upton_TX                                     Upton        TX              2          3355
Uvalde_TX                                   Uvalde        TX              5         26405
Val Verde_TX                             Val Verde        TX             10         48879
Van Zandt_TX                             Van Zandt        TX             10         52579
Victoria_TX                               Victoria        TX             23         86793
Walker_TX                                   Walker        TX             10         67861
Waller_TX                                   Waller        TX              6         43205
Ward_TX                                       Ward        TX              3         10658
Washington_TX                           Washington        TX              6         33718
Webb_TX                                       Webb        TX             61        250304
Wharton_TX                                 Wharton        TX             11         41280
Wheeler_TX                                 Wheeler        TX              2          5410
Wichita_TX                                 Wichita        TX             37        131500
Wilbarger_TX                             Wilbarger        TX              4         13535
Willacy_TX                                 Willacy        TX              6         22134
Williamson_TX                           Williamson        TX             89        422679
Wilson_TX                                   Wilson        TX             11         42918
Winkler_TX                                 Winkler        TX              3          7110
Wise_TX                                       Wise        TX             11         59127
Wood_TX                                       Wood        TX             10         41964
Yoakum_TX                                   Yoakum        TX              2          7879
Young_TX                                     Young        TX              4         18550
Zapata_TX                                   Zapata        TX              3         14018
Zavala_TX                                   Zavala        TX              4         11677
Beaver_UT                                   Beaver        UT              2          6629
Box Elder_UT                             Box Elder        UT             11         49975
Cache_UT                                     Cache        UT             26        112656
Carbon_UT                                   Carbon        UT              5         21403
Daggett_UT                                 Daggett        UT              1          1059
Davis_UT                                     Davis        UT             54        306479
Duchesne_UT                               Duchesne        UT              3         18607
Emery_UT                                     Emery        UT              3         10976
Garfield_UT                               Garfield        UT              2          5172
Grand_UT                                     Grand        UT              2          9225
Iron_UT                                       Iron        UT              8         46163
Juab_UT                                       Juab        UT              2         10246
Kane_UT                                       Kane        UT              2          7125
Millard_UT                                 Millard        UT              3         12503
Morgan_UT                                   Morgan        UT              2          9469
Piute_UT                                     Piute        UT              1          1556
Rich_UT                                       Rich        UT              1          2264
Salt Lake_UT                             Salt Lake        UT            212       1029655
San Juan_UT                               San Juan        UT              4         14746
Sanpete_UT                                 Sanpete        UT              5         27822
Sevier_UT                                   Sevier        UT              5         20802
Summit_UT                                   Summit        UT             13         36324
Tooele_UT                                   Tooele        UT             11         58218
Uintah_UT                                   Uintah        UT              6         32588
Utah_UT                                       Utah        UT            128        516564
Wasatch_UT                                 Wasatch        UT              4         23530
Washington_UT                           Washington        UT             21        138115
Wayne_UT                                     Wayne        UT              1          2778
Weber_UT                                     Weber        UT             50        231236
Addison_VT                                 Addison        VT             10         36821
Bennington_VT                           Bennington        VT             12         37125
Caledonia_VT                             Caledonia        VT             10         31227
Chittenden_VT                           Chittenden        VT             35        156545
Essex_VT                                     Essex        VT              3          6306
Franklin_VT                               Franklin        VT             10         47746
Grand Isle_VT                           Grand Isle        VT              2          6970
Lamoille_VT                               Lamoille        VT              7         24475
Orange_VT                                   Orange        VT             10         28936
Orleans_VT                                 Orleans        VT             10         27231
Rutland_VT                                 Rutland        VT             20         61642
Washington_VT                           Washington        VT             19         59534
Windham_VT                                 Windham        VT             18         44513
Windsor_VT                                 Windsor        VT             18         56670
Accomack_VA                               Accomack        VA             11         33164
Albemarle_VA                             Albemarle        VA             22         98970
Alleghany_VA                             Alleghany        VA              6         16250
Amelia_VA                                   Amelia        VA              2         12690
Amherst_VA                                 Amherst        VA              9         32353
Appomattox_VA                           Appomattox        VA              3         14973
Arlington_VA                             Arlington        VA             59        207627
Augusta_VA                                 Augusta        VA             13         73750
Bath_VA                                       Bath        VA              1          4731
Bedford_VA                                 Bedford        VA             16         68676
Bland_VA                                     Bland        VA              2          6824
Botetourt_VA                             Botetourt        VA              8         33148
Brunswick_VA                             Brunswick        VA              5         17434
Buchanan_VA                               Buchanan        VA              7         24098
Buckingham_VA                           Buckingham        VA              4         17146
Campbell_VA                               Campbell        VA             12         54842
Caroline_VA                               Caroline        VA              7         28545
Carroll_VA                                 Carroll        VA              7         30042
Charles City_VA                       Charles City        VA              3          7256
Charlotte_VA                             Charlotte        VA              3         12586
Chesterfield_VA                       Chesterfield        VA             71        316236
Clarke_VA                                   Clarke        VA              3         14034
Craig_VA                                     Craig        VA              1          5190
Culpeper_VA                               Culpeper        VA              8         46689
Cumberland_VA                           Cumberland        VA              2         10052
Dickenson_VA                             Dickenson        VA              4         15903
Dinwiddie_VA                             Dinwiddie        VA              7         28001
Essex_VA                                     Essex        VA              3         11151
Fairfax_VA                                 Fairfax        VA            258       1081726
Fauquier_VA                               Fauquier        VA             17         65203
Floyd_VA                                     Floyd        VA              3         15279
Fluvanna_VA                               Fluvanna        VA              4         25691
Franklin_VA                               Franklin        VA             10         56159
Frederick_VA                             Frederick        VA             14         78305
Giles_VA                                     Giles        VA              4         17286
Gloucester_VA                           Gloucester        VA              8         36858
Goochland_VA                             Goochland        VA              5         21717
Grayson_VA                                 Grayson        VA              5         15533
Greene_VA                                   Greene        VA              3         18403
Greensville_VA                         Greensville        VA              3         12243
Halifax_VA                                 Halifax        VA              9         36241
Hanover_VA                                 Hanover        VA             23         99863
